location,scenario,future_period,gcm,temp_metric_name,temp_metric_value,historical_temp_metric_value,temp_deviation_from_historical,temp_rank,temp_class
Brisbane,ssp126,2050,ACCESS-CM2,annual_mean_temperature,21.502,20.244,1.257,6,
Brisbane,ssp126,2050,CESM2,annual_mean_temperature,21.73,20.244,1.485,7,hottest
Brisbane,ssp126,2070,MPI-ESM1-2-HR,annual_mean_temperature,21.067,20.244,0.823,1,coolest
Brisbane,ssp126,2070,ACCESS-ESM1-5,annual_mean_temperature,21.207,20.244,0.963,2,
Brisbane,ssp126,2070,NorESM2-MM,annual_mean_temperature,21.238,20.244,0.994,3,
Brisbane,ssp126,2070,EC-Earth3,annual_mean_temperature,21.328,20.244,1.084,4,median
Brisbane,ssp126,2070,CMCC-ESM2,annual_mean_temperature,21.612,20.244,1.367,5,
Brisbane,ssp126,2070,ACCESS-CM2,annual_mean_temperature,21.843,20.244,1.598,6,
Brisbane,ssp126,2070,CESM2,annual_mean_temperature,22.011,20.244,1.767,7,hottest
Brisbane,ssp370,2030,NorESM2-MM,annual_mean_temperature,20.727,20.244,0.482,1,coolest
Brisbane,ssp370,2030,MPI-ESM1-2-HR,annual_mean_temperature,20.8,20.244,0.556,2,
Brisbane,ssp370,2030,CMCC-ESM2,annual_mean_temperature,20.952,20.244,0.707,3,
Brisbane,ssp370,2030,ACCESS-CM2,annual_mean_temperature,21.042,20.244,0.797,4,median
Brisbane,ssp370,2030,EC-Earth3,annual_mean_temperature,21.075,20.244,0.831,5,
Brisbane,ssp370,2030,ACCESS-ESM1-5,annual_mean_temperature,21.145,20.244,0.901,6,
Brisbane,ssp370,2030,CESM2,annual_mean_temperature,21.216,20.244,0.971,7,hottest
Brisbane,ssp370,2050,NorESM2-MM,annual_mean_temperature,21.47,20.244,1.225,1,coolest
Brisbane,ssp370,2050,MPI-ESM1-2-HR,annual_mean_temperature,21.563,20.244,1.318,2,
Brisbane,ssp370,2050,CMCC-ESM2,annual_mean_temperature,21.624,20.244,1.38,3,
Brisbane,ssp370,2050,EC-Earth3,annual_mean_temperature,21.655,20.244,1.411,4,median
Brisbane,ssp370,2050,ACCESS-ESM1-5,annual_mean_temperature,21.897,20.244,1.652,5,
Brisbane,ssp370,2050,CESM2,annual_mean_temperature,22.087,20.244,1.843,6,
Brisbane,ssp370,2050,ACCESS-CM2,annual_mean_temperature,22.121,20.244,1.877,7,hottest
Brisbane,ssp370,2070,NorESM2-MM,annual_mean_temperature,21.979,20.244,1.735,1,coolest
Brisbane,ssp370,2070,MPI-ESM1-2-HR,annual_mean_temperature,22.02,20.244,1.775,2,
Brisbane,ssp370,2070,ACCESS-ESM1-5,annual_mean_temperature,22.511,20.244,2.267,3,
Brisbane,ssp370,2070,CMCC-ESM2,annual_mean_temperature,22.57,20.244,2.325,4,median
Brisbane,ssp370,2070,EC-Earth3,annual_mean_temperature,22.683,20.244,2.438,5,
Brisbane,ssp370,2070,ACCESS-CM2,annual_mean_temperature,23.035,20.244,2.79,6,
Brisbane,ssp370,2070,CESM2,annual_mean_temperature,23.213,20.244,2.968,7,hottest
Cairns,ssp126,2030,NorESM2-MM,annual_mean_temperature,24.97,24.577,0.393,1,coolest
Cairns,ssp126,2030,CMCC-ESM2,annual_mean_temperature,25.034,24.577,0.457,2,
Cairns,ssp126,2030,ACCESS-ESM1-5,annual_mean_temperature,25.189,24.577,0.611,3,
Cairns,ssp126,2030,EC-Earth3,annual_mean_temperature,25.248,24.577,0.671,4,median
Cairns,ssp126,2030,MPI-ESM1-2-HR,annual_mean_temperature,25.304,24.577,0.726,5,
Cairns,ssp126,2030,CESM2,annual_mean_temperature,25.383,24.577,0.806,6,
Cairns,ssp126,2030,ACCESS-CM2,annual_mean_temperature,25.412,24.577,0.834,7,hottest
Cairns,ssp126,2050,NorESM2-MM,annual_mean_temperature,25.246,24.577,0.668,1,coolest
Cairns,ssp126,2050,MPI-ESM1-2-HR,annual_mean_temperature,25.261,24.577,0.684,2,
Cairns,ssp126,2050,CMCC-ESM2,annual_mean_temperature,25.495,24.577,0.918,3,
Cairns,ssp126,2050,ACCESS-ESM1-5,annual_mean_temperature,25.554,24.577,0.977,4,median
Cairns,ssp126,2050,CESM2,annual_mean_temperature,25.629,24.577,1.052,5,
Cairns,ssp126,2050,EC-Earth3,annual_mean_temperature,25.639,24.577,1.062,6,
Cairns,ssp126,2050,ACCESS-CM2,annual_mean_temperature,25.81,24.577,1.232,7,hottest
Cairns,ssp126,2070,NorESM2-MM,annual_mean_temperature,25.253,24.577,0.676,1,coolest
Cairns,ssp126,2070,MPI-ESM1-2-HR,annual_mean_temperature,25.293,24.577,0.715,2,
Cairns,ssp126,2070,ACCESS-ESM1-5,annual_mean_temperature,25.544,24.577,0.966,3,
Cairns,ssp126,2070,CMCC-ESM2,annual_mean_temperature,25.655,24.577,1.077,4,median
Cairns,ssp126,2070,EC-Earth3,annual_mean_temperature,25.728,24.577,1.151,5,
Cairns,ssp126,2070,CESM2,annual_mean_temperature,25.748,24.577,1.17,6,
Cairns,ssp126,2070,ACCESS-CM2,annual_mean_temperature,26.054,24.577,1.477,7,hottest
Cairns,ssp370,2030,CMCC-ESM2,annual_mean_temperature,25.02,24.577,0.443,1,coolest
Cairns,ssp370,2030,MPI-ESM1-2-HR,annual_mean_temperature,25.158,24.577,0.581,2,
Cairns,ssp370,2030,NorESM2-MM,annual_mean_temperature,25.161,24.577,0.584,3,
Cairns,ssp370,2030,CESM2,annual_mean_temperature,25.261,24.577,0.683,4,median
Cairns,ssp370,2030,ACCESS-ESM1-5,annual_mean_temperature,25.312,24.577,0.735,5,
